ideology,o,lo,up
agrarianism,0.9957764096797406,0.4899124990662233,2.5297992422308226
anti_communism,2.621964897959674,1.4973137244116224,8.730583174589846
anti_imperialism,-1.4139167091943536,-2.1467201953216946,-1.1189230482872201
big_tent,-0.3305785851904145,-0.6392617209651562,-0.054401098294386954
christian_democracy,0.8725376996429828,0.7153130605697182,1.087293448920419
civic_nationalism,-0.04619300015265653,-0.22886556032953273,0.15589190794249586
classical_liberalism,0.3595308534123226,0.1733578159807734,0.6244197901659011
communism,-23.33813782124742,-161.1704097557536,-6.658151810924529
conservatism,0.8441898722943901,0.7505945087866716,0.954700320222254
conservative_liberalism,0.3487068921894001,0.21160735721255866,0.518279058390972
democratic_socialism,-1.0138353928502157,-1.0845691168954086,-0.9489686925717777
economic_liberalism,1.0607063785246442,0.8421844327999812,1.397082297636007
environmentalism,-0.5934896048596567,-0.7873267556673402,-0.4301658558641389
euroscepticism,20.857935310017716,7.179471043176424,93.1826965408109
federalism,-0.5565466235443461,-1.339217056621066,-0.14273388356292496
green_politics,-0.5901023891014792,-0.7400411015333467,-0.4569686748525406
left_wing_nationalism,-1.2599565515597737,-1.3903575191062219,-1.1446955335731634
left_wing_populism,-1.1525169363712955,-1.306692235259152,-1.0203632766722528
liberal_conservatism,0.44376284167419977,0.341371064861521,0.565744166514315
liberalism,-0.05529667965636587,-0.11628835558964672,0.008025174495818547
marxism_leninism,-26.135070351372228,-167.4814667224155,-7.6783541035425085
monarchism,0.8661473042748578,0.640621661556713,1.2163532413945681
national_conservatism,9.313201509546086,3.5513402336863713,56.815504891434855
nationalism,1.534341413348702,0.8280288462574664,4.498831449911784
populism,0.044147371336907285,-0.11338433295909381,0.22179830347393195
pro_europeanism,-0.06077881181660992,-0.15828396093181,0.03780727949713052
progressivism,-0.6535827129105587,-0.7439155814588624,-0.575028990799395
reformism,-0.3730087557342062,-0.7323275074288742,-0.08728030067796355
regionalism,0.30231368320639573,-0.08581971619098237,0.9722507315459497
republicanism,-0.511741872012569,-1.3538964776929223,-0.0035600547827930673
right_wing_populism,5.74771579343467,2.7755961666969995,32.24082316013053
secularism,-0.6155447168873976,-0.8133833352517771,-0.4481466271704628
social_conservatism,11.533843763479375,4.332268373023234,60.138747414372226
social_liberalism,-0.2633924863963835,-0.3184344008491954,-0.20893530018682277
socialism,-1.2796348872433256,-1.4222585388044484,-1.1693909530411524
